"level3_pathway_name","Nitritation1mean","Nitritation2mean","Nitritation3mean","Denitrification1mean","Denitrification2mean","Denitrification3mean","pvalue_Denitrification","Denitrification_vs_Nitritation","Denitrification"
"-",2.97530225448649,3.00301130772973,3.07472164054054,2.86078687243243,2.8203547397027,2.88942565859459,0.0145494111966922,0.946706499950413,2.85685575690991
"Aminoacyl-tRNA biosynthesis",2.4240294125,2.325538018,2.4213021465,2.195959944,2.259562463,2.154564232,0.0138001491642698,0.921797080259461,2.203362213
"Benzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Fatty acid metabolism;Butanoate metabolism;Carbon metabolism;Fatty acid degradation",4.050820815,3.76161513,4.2708027755,3.3739179855,3.3886100685,3.911451084,0.113115289013826,0.883370707548043,3.557993046
"beta-Lactam resistance",2.143918897,2.147906279,2.171181525,1.905330688,1.855947363,1.859154611,0.000527410737394089,0.907595333041411,3.874578135
"Biofilm formation - Vibrio cholerae;Biosynthesis of amino acids;Sulfur metabolism;Metabolic pathways;Cysteine and methionine metabolism;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of secondary metabolites;Exopolysaccharide biosynthesis",5.028051727,5.18541199,5.238850906,3.783476137,4.873358559,4.461971067,0.129146820984881,0.96137409615461,3.83535797566667
"Biosynthesis of nucleotide sugars;Metabolic pathways;Lipopolysaccharide biosynthesis",2.257957136,2.111346172,1.829335923,2.757896008,2.39772604,3.113886191,0.058012797474217,0.961946426028996,1.321593187
"Carbon metabolism;Glyoxylate and dicarboxylate metabolism;Microbial metabolism in diverse environments;Biosynthesis of secondary metabolites;Metabolic pathways",4.132367377,4.914348613,4.226697398,3.275355759,2.949406193,3.424537613,0.0211851356826775,0.845103747963327,3.175990578
"Cationic antimicrobial peptide (CAMP) resistance;beta-Lactam resistance",3.608282948,3.668084535,3.997954465,3.162929979,3.098317466,3.266724289,0.0274739706121713,0.878506101189076,2.11203263391667
"Cationic antimicrobial peptide (CAMP) resistance;Two-component system",1.429279265,1.943343776,1.125797828,2.410161896,2.144650286,2.193426854,0.0753231292288503,0.944393454386396,4.37002477066667
"Citrate cycle (TCA cycle);Pyruvate metabolism;Glycolysis / Gluconeogenesis;Carbon metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments",2.6078080255,2.1574272855,2.4471197235,1.975242309,2.3111750735,2.04968051925,0.158890667590127,0.819672808298425,3.70139467966667
"Cysteine and methionine metabolism;Metabolic pathways;Biosynthesis of cofactors;Glutathione metabolism",3.9829008,4.541738802,5.022453734,4.036434442,3.03229047,4.035459127,0.145183325222757,0.932606626597025,4.439994228
"Histidine metabolism;Biosynthesis of amino acids;Metabolic pathways;Tropane, piperidine and pyridine alkaloid biosynthesis;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Novobiocin biosynthesis;Phenylalanine metabolism",3.136738887,2.7012497375,2.761146812,3.067328143,3.1130146495,3.6634149635,0.159999841448525,0.92915076976437,3.878232245
"Metabolic pathways;Nucleotide metabolism;Antifolate resistance;One carbon pool by folate;Pyrimidine metabolism",0.901052706,1.108111218,0.901245161,0.730054139,0.924471894,0.774530827,0.153244072746962,0.900967770211734,2.68171479404167
"Metabolic pathways;Nucleotide metabolism;Biosynthesis of secondary metabolites;Purine metabolism;Drug metabolism - other enzymes",2.7296591,3.0736443105,3.135498913,2.7465798845,2.5369017235,2.680765063,0.106723503404091,0.881231085036518,4.34279247033333
"Metabolic pathways;Valine, leucine and isoleucine degradation",4.5284760795,3.8408069985,4.300684277,3.7742349905,3.7154272755,3.8027255155,0.149128307720296,0.926478774671309,1.50842137333333
"Nitrogen metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Arginine biosynthesis;Microbial metabolism in diverse environments;Carbon metabolism;Necroptosis;Proximal tubule bicarbonate reclamation",1.43003952,1.723547896,1.809009969,2.325688424,2.206602949,1.898711092,0.046644439728701,0.904063196353081,2.5906698185
"Oxidative phosphorylation;Metabolic pathways",2.832354711,2.9078757635,2.8565241405,2.5112384415,2.6679783665,2.5927926475,0.0130735807350608,0.869512738400062,2.755942661
"Pyruvate metabolism;Glycolysis / Gluconeogenesis;Carbon metabolism;Biosynthesis of secondary metabolites;Methane metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Metabolic pathways",3.979649452,3.974393725,3.212263067,3.204253244,2.970443754,3.257238879,0.140559409844354,0.876244229917594,3.55461743658333
"Quorum sensing;PPAR signaling pathway;Adipocytokine signaling pathway;Fatty acid metabolism;Peroxisome;Fatty acid biosynthesis;Fatty acid degradation;Thermogenesis;Ferroptosis;Metabolic pathways",3.9674051265,4.21227527375,3.9902739865,3.5041836765,3.5300034695,3.62966516375,0.0112531298685498,0.89726278535976,3.397911372
"Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites;Metabolic pathways",4.576245931,4.75753935,4.761435548,3.439366165,4.09604637,3.371267028,0.0368334533008047,0.943893906056383,3.32842365
"Two-component system",3.04011852833333,2.9902812735,3.06907697283333,2.55964766033333,2.66509199766667,2.62371316016667,0.00060115447615387,0.780834713350293,0.824855921
"Valine, leucine and isoleucine degradation;Metabolic pathways",4.982811503,5.535209438,5.382585841,4.43957363,4.159261142,4.312128755,0.0132108366142627,0.86963126018891,1.873477554
