"id","tSNE1","tSNE2","D2A","D3A","D1A","Y1A","Y2A","Y3A","degs","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"G2A_k97_14565_183",5.51415483111375,-23.2345172123465,0.373509953981904,0.498764288566725,0.310398434612763,0.53744706073345,0.60170544378198,0.484263317917039,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_17704_2",19.609854581819,-20.4504445005436,0.335371031500851,0.404757158630746,0.117943577757711,0.462316398880085,0.460895859423793,0.403486260059356,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_20020_40",-17.5238796226669,-20.6474876326288,0.64653247202062,0.687046281093843,0.741786326572859,0.625492680142634,0.460251347561526,0.401505954351517,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_23347_3",16.0636272443134,-23.3979257953411,0.373886519323476,0.403369247118839,0.195634887212948,0.494996870935591,0.493522027828418,0.514403332774111,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_24670_107",19.7437230830615,-24.1945783600667,0.339815176638057,0.362499692941985,0.134630461801069,0.472243586856369,0.557377610874439,0.429843078741571,"Yellow_vs_Dark","Cluster 2","halk:CUU95_16510","K05952","uncharacterized protein","-","-","-","-","-","-","-","-"
"G2A_k97_31544_274",-4.99807864613724,-24.1706440172431,0.635327021370548,0.622267869863449,0.365673835886475,0.340706784741522,0.561616938111766,0.546667776182462,"Yellow_vs_Dark","Cluster 2","hvn:EI420_12655","K07107","acyl-CoA thioester hydrolase [EC:3.1.2.-]","-","-","-","-","-","-","-","-"
"G2A_k97_31544_83",-1.00477659895692,-22.5115998035649,0.474585791401421,0.543149901891926,0.378265939876003,0.39340040009946,0.618394485034963,0.456142064389958,"Yellow_vs_Dark","Cluster 2","hcs:FF32_17215","K09986","uncharacterized protein","-","-","-","-","-","-","-","-"
"G2A_k97_3773_2",10.9976630034006,-24.4973625822582,0.277319769804066,0.451169178758537,0.235122582338201,0.627302440564169,0.540472822627945,0.349803264879028,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_56466_3",-14.9620870456783,-24.2408281319908,0.847403407084361,0.808213844729202,0.83532440202314,0.97637489610634,0.899270536963091,0.897868867896995,"Yellow_vs_Dark","Cluster 2","-","-","-","-","-","-","-","-","-","-","-"
