"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3"
"OTU38",18.2386629216152,-6.56592137863506,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13
"OTU86",13.1450231929523,-4.20845618882215,7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7
"OTU7",25.7301460755778,-7.51747857831455,2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535
"OTU3",-8.17984249047996,11.6027910235706,2575,2524,2185,5350,5922,3164,3301,3974,4288,2267,2812,2286,2109,3333,2688,4661,6227,4028
"OTU48",12.5000281013967,-0.895841850732092,12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1
"OTU25",-14.6260741293314,-5.87214467271254,120,113,146,34,50,41,150,121,168,123,143,109,73,113,88,152,167,196
"OTU62",20.7792421909955,0.90588565732135,1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1
"OTU39",-34.0794254080763,0.764562863776985,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,31,13,13
"OTU35",-28.5744020335711,12.7971191932106,3,3,2,0,2,2,2,2,2,2,7,3,2,6,2,43,15,36
"OTU32",-26.7592550563679,4.28233104045793,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,66,35,40
"OTU30",-19.4659178337374,14.1830501260984,0,4,1,1,0,7,1,5,4,4,5,4,3,2,3,16,27,62
"OTU84",26.8560162457866,-13.4394369243409,4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1
"OTU14",-29.3310461638584,8.30034857469341,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,323,122,197
"OTU15",-20.3430960351454,2.92003008226598,17,30,10,17,17,9,27,32,45,26,20,32,15,33,16,268,194,150
"OTU16",-33.4471302316038,8.88814571630546,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,214,67,111
"OTU10",-30.2899517760586,2.11937922859657,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1177,483,625
"OTU11",-23.6837477221413,6.3169971145772,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,547,337,405
"OTU12",-5.61672806024313,3.67690760763067,48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233
"OTU19",-31.2314472484252,5.42746906005797,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,230,94,131
"OTU98",23.5130419694152,-2.34258150199317,15,17,14,20,11,14,25,28,24,33,33,31,19,23,13,4,25,7
"OTU96",33.0844801817635,-11.8659532552803,162,175,152,133,105,153,165,189,128,156,122,174,185,182,180,0,8,2
"OTU97",30.0852111763295,-10.4680309860537,99,84,141,115,103,103,136,120,118,148,130,150,125,168,127,1,12,0
"OTU65",31.8417038514143,-1.2501661583348,4,18,10,7,2,3,10,9,5,9,10,6,15,7,8,1,4,2
"OTU67",-24.4023227035406,-2.70020297277676,1,0,0,4,0,1,2,2,2,3,1,1,0,0,1,7,4,7
"OTU69",44.2003523454748,-5.82833546959624,7,5,3,3,3,4,3,2,1,4,3,6,1,1,4,2,3,2
"OTU8",-16.7536446000682,4.89564599496364,304,263,284,219,256,239,269,463,465,285,343,346,202,271,217,2800,2689,2144
"OTU9",-37.1500825641952,8.26989300682451,4,8,4,4,5,1,4,9,7,2,9,13,9,11,9,1965,565,989
"OTU6",-7.4838303200734,7.2947290751655,1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340
"OTU4",-35.4083265760711,4.87874522818408,901,906,926,934,820,656,949,915,1052,751,544,649,777,724,678,9919,3369,5145
"OTU1",35.1136412717026,-9.18057300532832,30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275
"OTU47",28.4602551512516,-4.99445117791428,16,23,13,14,17,5,11,11,19,32,30,25,22,21,20,2,1,1
"OTU46",22.4016508814378,-6.5744152395683,8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7
"OTU45",9.62029380478467,-5.70091136311989,11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10
"OTU44",-38.6338455816999,1.62705913478896,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,16,6,5
"OTU42",-17.5902243679174,9.11594803665617,8,6,6,14,4,3,7,7,12,8,6,6,7,1,7,45,45,50
"OTU117",28.1336946631375,0.766773919014768,5,22,15,14,9,4,25,14,23,18,22,4,9,18,11,1,13,3
"OTU113",31.0180477313562,-7.18338536224751,472,366,444,477,376,290,483,472,464,569,561,554,534,409,454,147,141,210
"OTU110",40.0803098079895,-7.81932486432036,13,11,6,8,9,3,3,7,4,3,11,2,0,6,9,0,0,0
"OTU111",32.0536883121434,-16.4245763301512,1,2,4,0,0,1,2,4,0,3,0,4,1,3,2,0,1,0
"OTU51",-17.8461342506117,-3.70002418383233,1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12
"OTU53",-8.59280212973556,2.99482923629093,13,17,16,16,11,13,16,26,15,16,21,15,22,14,19,95,270,113
"OTU54",40.6716245786326,-4.76564032650301,17,10,7,11,13,2,7,3,8,11,10,6,6,3,12,8,3,0
"OTU57",-24.3921763932929,11.2631987893401,0,0,1,1,0,0,1,1,1,3,2,1,0,1,1,12,6,12
"OTU21",-13.6456607789115,6.00601208078574,10,6,7,15,3,12,6,10,17,7,10,9,5,6,6,85,90,60
