otu_id,p_value,labels,Dark1,Dark2,Dark3,Blue1,Blue2,Blue3,Green1,Green2,Green3,Yellow1,Yellow2,Yellow3,Red1,Red2,Red3,UV1,UV2,UV3
OTU38,0.0033173520113644428,BluevsDark,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13
OTU86,0.007376959190597631,BluevsDark,7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7
OTU12,0.037453438349083726,BluevsDark,48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233
OTU6,0.00016703100709851662,BluevsDark,1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340
OTU7,9.251456539419451e-08,BluevsDark,2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535
OTU3,5.497174194078915e-13,BluevsDark,2575,2524,2185,5350,5922,3164,3301,3974,4288,2267,2812,2286,2109,3333,2688,4661,6227,4028
OTU48,0.015383496685435455,BluevsDark,12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1
OTU25,8.988844995828716e-05,BluevsDark,120,113,146,34,50,41,150,121,168,123,143,109,73,113,88,152,167,196
OTU36,0.020532980260791246,GreenvsDark,22,11,27,18,24,14,33,52,49,34,40,29,22,28,13,78,75,52
OTU62,0.005033403565373624,GreenvsDark,1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1
OTU69,0.01829344446895378,GreenvsDark,7,5,3,3,3,4,3,2,1,4,3,6,1,1,4,2,3,2
OTU6,3.627624409083156e-05,GreenvsDark,1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340
OTU1,0.026312703104634242,GreenvsDark,30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275
OTU40,0.02475289772933325,GreenvsDark,9,8,12,11,17,9,26,13,25,13,9,13,12,11,5,16,31,13
OTU51,0.03607801691324263,GreenvsDark,1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12
OTU38,0.00087090178043034,YellowvsDark,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13
OTU98,0.016374586159488377,YellowvsDark,15,17,14,20,11,14,25,28,24,33,33,31,19,23,13,4,25,7
OTU62,0.02856459610055397,YellowvsDark,1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1
OTU6,0.004055851480791509,YellowvsDark,1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340
OTU4,0.04018233256782737,YellowvsDark,901,906,926,934,820,656,949,915,1052,751,544,649,777,724,678,9919,3369,5145
OTU1,0.039929042026800525,YellowvsDark,30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275
OTU46,0.02674911852294067,YellowvsDark,8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7
OTU45,0.04251338734636931,YellowvsDark,11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10
OTU38,0.0022924687802483683,RedvsDark,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13
OTU84,0.021585044075241516,RedvsDark,4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1
OTU62,0.015550221830938241,RedvsDark,1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1
OTU39,0.03772066054439609,UVvsDark,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,31,13,13
OTU36,0.010409115267978785,UVvsDark,22,11,27,18,24,14,33,52,49,34,40,29,22,28,13,78,75,52
OTU35,0.0007488573461721436,UVvsDark,3,3,2,0,2,2,2,2,2,2,7,3,2,6,2,43,15,36
OTU32,8.006631525658703e-05,UVvsDark,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,66,35,40
OTU30,0.0009692035215459176,UVvsDark,0,4,1,1,0,7,1,5,4,4,5,4,3,2,3,16,27,62
OTU86,0.01670156244866069,UVvsDark,7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7
OTU84,0.010000659635274474,UVvsDark,4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1
OTU14,0.00024371631964549215,UVvsDark,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,323,122,197
OTU15,2.990079522360426e-10,UVvsDark,17,30,10,17,17,9,27,32,45,26,20,32,15,33,16,268,194,150
OTU16,1.5199818775794223e-06,UVvsDark,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,214,67,111
OTU10,2.178029289621788e-12,UVvsDark,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1177,483,625
OTU11,6.101737822574206e-05,UVvsDark,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,547,337,405
OTU12,3.478188270542598e-06,UVvsDark,48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233
OTU19,0.03002893713386177,UVvsDark,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,230,94,131
OTU98,0.00046567681402870007,UVvsDark,15,17,14,20,11,14,25,28,24,33,33,31,19,23,13,4,25,7
OTU96,7.107135441862355e-34,UVvsDark,162,175,152,133,105,153,165,189,128,156,122,174,185,182,180,0,8,2
OTU97,6.2221370019840035e-31,UVvsDark,99,84,141,115,103,103,136,120,118,148,130,150,125,168,127,1,12,0
OTU65,4.058200440379476e-05,UVvsDark,4,18,10,7,2,3,10,9,5,9,10,6,15,7,8,1,4,2
OTU67,0.0371618835649836,UVvsDark,1,0,0,4,0,1,2,2,2,3,1,1,0,0,1,7,4,7
OTU69,0.0020342838572573792,UVvsDark,7,5,3,3,3,4,3,2,1,4,3,6,1,1,4,2,3,2
OTU8,3.2608637394872456e-21,UVvsDark,304,263,284,219,256,239,269,463,465,285,343,346,202,271,217,2800,2689,2144
OTU9,9.781182173850564e-23,UVvsDark,4,8,4,4,5,1,4,9,7,2,9,13,9,11,9,1965,565,989
OTU6,3.4468586818881172e-09,UVvsDark,1117,818,893,1520,1205,895,1721,1828,2584,1986,1625,1481,970,1665,943,3754,5740,2340
OTU7,9.756319064581127e-21,UVvsDark,2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535
OTU4,1.9928122573602535e-07,UVvsDark,901,906,926,934,820,656,949,915,1052,751,544,649,777,724,678,9919,3369,5145
OTU2,0.044539375406103955,UVvsDark,5598,4256,4579,5066,4532,3364,5257,5928,6619,6708,7293,6497,4782,4494,4455,8382,11703,19854
OTU1,1.0682552539237372e-43,UVvsDark,30266,31778,31626,29463,30613,34601,29036,26403,24458,27424,26258,27839,31225,29640,31748,5427,5622,5275
OTU48,0.015882746156655612,UVvsDark,12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1
OTU47,2.4490137619109024e-09,UVvsDark,16,23,13,14,17,5,11,11,19,32,30,25,22,21,20,2,1,1
OTU46,1.3889767764324771e-05,UVvsDark,8,20,9,8,7,4,14,16,14,21,24,26,14,25,15,7,8,7
OTU45,0.011099967095836969,UVvsDark,11,21,9,4,10,7,10,7,8,11,6,7,8,9,13,4,19,10
OTU44,0.01895841029147933,UVvsDark,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,16,6,5
OTU42,0.00010190518051812484,UVvsDark,8,6,6,14,4,3,7,7,12,8,6,6,7,1,7,45,45,50
OTU117,0.0006211259525781402,UVvsDark,5,22,15,14,9,4,25,14,23,18,22,4,9,18,11,1,13,3
OTU113,7.178832731676886e-13,UVvsDark,472,366,444,477,376,290,483,472,464,569,561,554,534,409,454,147,141,210
OTU110,0.0013124552928159932,UVvsDark,13,11,6,8,9,3,3,7,4,3,11,2,0,6,9,0,0,0
OTU111,0.036851752267321125,UVvsDark,1,2,4,0,0,1,2,4,0,3,0,4,1,3,2,0,1,0
OTU59,0.034771005026652375,UVvsDark,1,0,1,2,3,1,1,1,4,2,2,0,0,2,3,5,13,4
OTU51,0.010488876965139157,UVvsDark,1,0,3,3,0,0,5,5,9,5,5,4,2,5,2,13,9,12
OTU53,4.486899719593134e-14,UVvsDark,13,17,16,16,11,13,16,26,15,16,21,15,22,14,19,95,270,113
OTU54,0.0018027665894870715,UVvsDark,17,10,7,11,13,2,7,3,8,11,10,6,6,3,12,8,3,0
OTU57,0.009407285315251143,UVvsDark,0,0,1,1,0,0,1,1,1,3,2,1,0,1,1,12,6,12
OTU26,0.0032595896446965668,UVvsDark,17,13,19,24,9,12,19,31,42,25,24,25,17,19,13,67,78,32
OTU21,1.8945298048724594e-09,UVvsDark,10,6,7,15,3,12,6,10,17,7,10,9,5,6,6,85,90,60
